,단맛,신맛,바디감,청량감,cluster,pca_x,pca_y
218,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
219,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
220,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
221,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
222,3.0,0.0,2.0,0.0,3,-1.2323293194546314,-2.4321252433262917
223,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
224,1.0,0.0,2.0,2.0,3,-1.2631166827435036,-1.122852003944119
225,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
226,2.0,0.0,3.0,0.0,3,-1.8364607996808813,-2.0336482768226785
227,2.0,0.0,3.0,0.0,3,-1.8364607996808813,-2.0336482768226785
228,0.0,0.0,4.0,0.0,1,-3.145955579752037,0.32674323746992645
229,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
230,0.0,0.0,3.0,0.0,1,-3.1149621164114425,0.435250990879532
231,0.0,0.0,1.0,0.0,1,-3.052975189730253,0.652266497698743
232,0.0,0.0,2.0,0.0,1,-3.083968653070847,0.5437587442891374
233,3.0,1.0,2.0,1.0,3,-0.07868013109216952,-1.8599898024000734
234,2.0,2.0,1.0,3.0,0,0.8922309145275751,1.6576847534404953
235,2.0,2.0,3.0,3.0,0,0.830243987846386,1.4406692466212843
236,3.0,4.0,3.0,3.0,2,2.7274169939337782,0.3277217811289956
237,3.0,3.0,3.0,3.0,2,2.1315121408125353,-0.09676176001935567
238,2.0,4.0,3.0,2.0,0,1.4643093588476526,2.1419844291401198
239,2.0,4.0,2.0,2.0,0,1.4953028221882472,2.2504921825497255
240,3.0,3.0,3.0,3.0,2,2.1315121408125353,-0.09676176001935567
241,2.0,2.0,1.0,3.0,0,0.8922309145275751,1.6576847534404953
242,3.0,1.0,2.0,2.0,3,0.4790642041490496,-1.712337902622206
243,3.0,1.0,2.0,3.0,2,0.9706958979106435,-0.837221088906453
244,1.0,5.0,2.0,2.0,0,1.518069658423835,3.1819604436112954
245,3.0,1.0,2.0,1.0,3,-0.07868013109216952,-1.8599898024000734
246,2.0,2.0,3.0,3.0,0,0.830243987846386,1.4406692466212843
247,4.0,4.0,5.0,3.0,2,3.238568084138244,-0.3962784456034345
248,4.0,3.0,3.0,2.0,2,2.146905822456971,-0.7513983797104421
249,2.0,3.0,3.0,3.0,0,1.4261488409676288,1.8651527877696357
250,3.0,3.0,4.0,3.0,2,2.1005186774719404,-0.2052695134289612
251,3.0,2.0,1.0,1.0,3,0.5482181853696679,-1.3269985078421165
252,2.0,3.0,3.0,3.0,0,1.4261488409676288,1.8651527877696357
253,3.0,3.0,2.0,3.0,2,2.162505604153129,0.011745993390249778
254,3.0,1.0,3.0,1.0,3,-0.10967359443276405,-1.9684975558096787
255,4.0,2.0,4.0,1.0,3,1.0283758122335396,-2.159506487984152
256,3.0,3.0,3.0,2.0,2,1.5737678055713156,-0.2444136597972229
257,2.0,2.0,2.0,4.0,2,1.5512070693874507,0.24189907193298493
258,3.0,3.0,3.0,2.0,2,1.5737678055713156,-0.2444136597972229
259,2.0,2.0,2.0,3.0,0,0.8612374511869804,1.5491770000308898
260,3.0,2.0,2.0,2.0,2,1.008856415790667,-0.5603894475359688
261,1.0,5.0,4.0,4.0,0,2.5715714022250844,3.2602487363478194
262,1.0,4.0,2.0,3.0,0,1.4799091405438114,2.905128802240812
263,1.0,2.0,2.0,3.0,0,0.2880994343013254,2.056161719944109
264,1.0,2.0,2.0,3.0,0,0.2880994343013254,2.056161719944109
265,4.0,1.0,4.0,1.0,3,0.4324709591122966,-2.583990029132504
266,4.0,2.0,2.0,2.0,2,1.5819944326763222,-1.067374167449188
267,1.0,3.0,2.0,3.0,0,0.8840042874225682,2.4806452610924605
268,5.0,1.0,4.0,4.0,2,2.6127293402419833,-1.920554135774235
269,1.0,4.0,2.0,2.0,0,0.922164805302592,2.7574769024629444
270,2.0,1.0,3.0,3.0,3,0.4326770591640195,-1.166209036340725
271,2.0,3.0,4.0,3.0,0,1.3951553776270342,1.75664503436003
272,2.0,2.0,2.0,1.0,3,-0.05591329485658159,-0.9285215413385028
273,2.0,3.0,3.0,3.0,0,1.4261488409676288,1.8651527877696357
274,2.0,3.0,3.0,2.0,0,0.8684045057264096,1.7175008879917686
275,3.0,1.0,2.0,4.0,2,1.5284402331518625,-0.6895691891285858
276,3.0,3.0,3.0,3.0,2,2.1315121408125353,-0.09676176001935567
277,1.0,3.0,1.0,0.0,0,-0.7582352549604948,2.146197315168464
278,3.0,3.0,2.0,1.0,2,1.047016933670691,-0.2835578061654847
279,3.0,1.0,3.0,1.0,3,-0.10967359443276405,-1.9684975558096787
280,2.0,3.0,2.0,2.0,0,0.8993979690670042,1.8260086414013739
281,1.0,3.0,3.0,2.0,0,0.2952664888407546,2.2244856079049877
282,1.0,3.0,3.0,3.0,0,0.8530108240819737,2.372137507682855
283,2.0,1.0,1.0,1.0,3,-0.62082468463723,-1.2444973290772485
284,1.0,3.0,2.0,1.0,0,-0.23148438305987004,2.185341461536726
285,4.0,2.0,2.0,2.0,2,1.5819944326763222,-1.067374167449188
286,2.0,4.0,3.0,2.0,0,1.4643093588476526,2.1419844291401198
287,3.0,1.0,3.0,1.0,3,-0.10967359443276405,-1.9684975558096787
288,3.0,3.0,2.0,3.0,2,2.162505604153129,0.011745993390249778
289,1.0,3.0,1.0,2.0,0,0.3572534155219436,2.4415011147241987
290,3.0,1.0,2.0,2.0,3,0.4790642041490496,-1.712337902622206
291,2.0,3.0,2.0,2.0,0,0.8993979690670042,1.8260086414013739
292,4.0,4.0,4.0,0.0,2,1.5963285417551807,-0.7307263915274306
293,2.0,2.0,2.0,3.0,0,0.8612374511869804,1.5491770000308898
294,1.0,4.0,3.0,3.0,0,1.4489156772032168,2.796621048831206
295,5.0,1.0,1.0,1.0,3,1.0985893660197352,-2.765451488816906
296,2.0,3.0,2.0,2.0,0,0.8993979690670042,1.8260086414013739
297,2.0,4.0,3.0,2.0,0,1.4643093588476526,2.1419844291401198
298,1.0,3.0,2.0,3.0,0,0.8840042874225682,2.4806452610924605
299,3.0,3.0,2.0,3.0,2,2.162505604153129,0.011745993390249778
300,4.0,2.0,5.0,2.0,2,1.4890140426545384,-1.3928974276780042
301,4.0,2.0,5.0,2.0,2,1.4890140426545384,-1.3928974276780042
302,4.0,1.0,2.0,3.0,2,1.5438339147962985,-1.3442058088196716
303,2.0,4.0,4.0,3.0,0,1.9910602307482772,2.1811285755083816
304,1.0,1.0,1.0,3.0,0,-0.2768119554793233,1.7401859322053632
305,1.0,3.0,3.0,3.0,0,0.8530108240819737,2.372137507682855
306,1.0,3.0,2.0,3.0,0,0.8840042874225682,2.4806452610924605
307,3.0,1.0,3.0,1.0,3,-0.10967359443276405,-1.9684975558096787
308,2.0,3.0,3.0,3.0,0,1.4261488409676288,1.8651527877696357
309,3.0,3.0,3.0,4.0,2,2.689256476053754,0.050890139758511484
310,4.0,1.0,5.0,0.0,3,-0.15626683946951728,-2.840149682319976
311,1.0,2.0,2.0,1.0,0,-0.8273892361811132,1.7608579203883745
312,2.0,2.0,2.0,2.0,0,0.30349311594576117,1.4015251002530227
313,2.0,1.0,1.0,1.0,3,-0.62082468463723,-1.2444973290772485
314,2.0,1.0,1.0,1.0,3,-0.62082468463723,-1.2444973290772485
315,2.0,2.0,3.0,1.0,3,-0.08690675819717615,-1.0370292947481083
316,2.0,1.0,2.0,2.0,3,-0.09407381273660521,-1.2053531827089872
317,1.0,4.0,1.0,3.0,0,1.5109026038844058,3.013636555650417
318,3.0,3.0,3.0,3.0,2,2.1315121408125353,-0.09676176001935567
319,3.0,3.0,3.0,4.0,2,2.689256476053754,0.050890139758511484
320,2.0,1.0,2.0,2.0,3,-0.09407381273660521,-1.2053531827089872
321,4.0,4.0,4.0,1.0,2,2.1540728769963997,-0.5830744917495635
322,1.0,3.0,1.0,2.0,0,0.3572534155219436,2.4415011147241987
323,3.0,1.0,2.0,2.0,3,0.4790642041490496,-1.712337902622206
324,2.0,1.0,2.0,1.0,3,-0.6518181479778243,-1.353005082486854
325,4.0,1.0,2.0,2.0,3,1.0522022210347048,-2.219322622535425
326,2.0,2.0,2.0,3.0,0,0.8612374511869804,1.5491770000308898
327,3.0,3.0,3.0,3.0,2,2.1315121408125353,-0.09676176001935567
328,3.0,2.0,1.0,2.0,2,1.0398498791312618,-0.4518816941263633
329,1.0,2.0,4.0,3.0,0,0.2261125076201364,1.8391462131248981
330,3.0,3.0,3.0,3.0,2,2.1315121408125353,-0.09676176001935567
331,3.0,1.0,4.0,1.0,3,-0.1406670577733585,-2.0770053092192846
332,1.0,2.0,2.0,1.0,0,-0.8273892361811132,1.7608579203883745
333,1.0,1.0,4.0,2.0,3,-0.7291987563034494,-0.9153839696149783
334,1.0,1.0,2.0,3.0,0,-0.3078054188199177,1.6316781787957577
335,1.0,1.0,2.0,2.0,3,-0.6672118296222606,-0.6983684627957675
336,1.0,3.0,1.0,3.0,0,0.9149977507631629,2.589153014502066
337,4.0,1.0,4.0,2.0,3,0.9902152943535157,-2.4363381293546365
338,2.0,3.0,2.0,2.0,0,0.8993979690670042,1.8260086414013739
